helm1	raw	helm2
1445.46	4907.83	819.025
1478.82	4913.59	819.059
1481.8	4938.67	819.861
1485.63	4961.52	835.362
1499.5	5140.84	853.543
1510.23	5155.69	861.461
1524.5	5195.84	876.818
1534.63	5196.17	882.412
1538.7	5219.64	885.355
1568.67	5326.74	894.403
1582.01	5450.66	910.607
1590.86	5761.49	912.257
1593.3	6102.65	932.839
1600.68	6311.28	943.15
1627.24	6357.47	965.9
1652.64	6382.67	971.703
1665.75	6433	978.52
1683.07	6766.2	980.331
1703.04	6807.87	992.933
1856.65	6892.88	1020.13
1875.33	7137.18	1022.65
1896.08	7183	1028.35
1905.31	7498.13	1043.04
1953.75	7538.27	1097.23
1961.22	7634.92	1099.5
2032.94	8010.72	1160.87
2070.41	8058.37	1168.63
2231.59	8795.4	1169.01
2298.52	10298.4	1256.27
2416.65	10520.8	1283.91
2419.55	13768.9	1399.21
2491.76	16714.2	1639.78
2928.22		
